"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K015","Transports i serveis relacionats","Autobusos nocturns","428596.233","4582655.642","428504.318","4582454.704","2.144826","41.390447","NITBUS -N12--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","429345.996","4584693.875","429254.075","4584492.918","2.153555","41.408871","BUS -24-116-H6-D40--",6,31,"Gràcia","la Vila de Gràcia",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432097.476","4586481.775","432005.53","4586280.801","2.186271","41.425212","NITBUS -N3--",9,61,"Sant Andreu","la Sagrera",,
"K014","Transports i serveis relacionats","Autobusos diürns","427429.949","4583474.957","427338.045","4583274.012","2.130779","41.397722","BUS -68--",5,24,"Sarrià-Sant Gervasi","les Tres Torres",,
"K014","Transports i serveis relacionats","Autobusos diürns","433223.148","4585691.659","433131.192","4585490.692","2.199828","41.41819","BUS -33-B24-H10--",10,72,"Sant Martí","Sant Martí de Provençals",,
"K015","Transports i serveis relacionats","Autobusos nocturns","433223.148","4585691.659","433131.192","4585490.692","2.199828","41.41819","NITBUS -N8--",10,72,"Sant Martí","Sant Martí de Provençals",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430039.002","4586014.174","429947.075","4585813.205","2.161693","41.420823","NITBUS -N4-N5--",7,37,"Horta-Guinardó","el Carmel",,
"K014","Transports i serveis relacionats","Autobusos diürns","429164.1","4578850.786","429072.179","4578649.883","2.152063","41.356229","BUS -107--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K015","Transports i serveis relacionats","Autobusos nocturns","426998.335","4583241.172","426906.435","4583040.229","2.125645","41.395577","NITBUS -N7--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","432153.391","4585493.443","432061.444","4585292.478","2.187051","41.416315","BUS -62-H8--",9,63,"Sant Andreu","Navas",,
"K014","Transports i serveis relacionats","Autobusos diürns","427971.868","4586732.308","427879.96","4586531.333","2.136873","41.427108","BUS -19-76-185--",7,39,"Horta-Guinardó","Sant Genís dels Agudells",,
"K014","Transports i serveis relacionats","Autobusos diürns","426617.24","4581330.265","426525.343","4581129.34","2.121318","41.378332","BUS -L12--",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K014","Transports i serveis relacionats","Autobusos diürns","432081.28","4586028.531","431989.334","4585827.561","2.186128","41.421128","BUS -126-V27--",9,61,"Sant Andreu","la Sagrera",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431780.012","4589121.147","431688.07","4588920.149","2.182173","41.448956","NITBUS -N1-N6--",8,53,"Nou Barris","la Trinitat Nova",,
"K014","Transports i serveis relacionats","Autobusos diürns","425404.282","4582362.217","425312.397","4582161.283","2.106687","41.387515","BUS -60-63-68-75-78-H4--",4,21,"Les Corts","Pedralbes",,
"K014","Transports i serveis relacionats","Autobusos diürns","426051.034","4583302.511","425959.143","4583101.568","2.114307","41.396043","BUS -68-75-H4--",4,21,"Les Corts","Pedralbes",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430638.998","4582468.304","430547.065","4582267.367","2.169279","41.388939","NITBUS -N4-N5-N6-N7--",2,7,"Eixample","la Dreta de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429953.716","4584585.941","429861.789","4584384.985","2.160838","41.407952","NITBUS -N6--",6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova",,
"K014","Transports i serveis relacionats","Autobusos diürns","433128.641","4583508.137","433036.685","4583307.19","2.198939","41.398516","BUS -B25-B20-136--",10,68,"Sant Martí","el Poblenou",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430344.625","4583390.591","430252.695","4583189.646","2.165652","41.39722","NITBUS -N6--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","429669.904","4582561.104","429577.979","4582360.167","2.157678","41.389691","BUS -54-66-67-V13--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","428619.783","4585192.458","428527.869","4584991.497","2.144808","41.413297","BUS -92-129-V17--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K015","Transports i serveis relacionats","Autobusos nocturns","433402.41","4582872.161","433310.451","4582671.22","2.202284","41.39281","NITBUS -N6-N8-N28--",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","431791.991","4583434.402","431700.047","4583233.456","2.182959","41.397739","BUS -6-V21--",2,5,"Eixample","el Fort Pienc",,
"K014","Transports i serveis relacionats","Autobusos diürns","427887.77","4582695.243","427795.862","4582494.305","2.136348","41.390741","BUS -7-33-63-67-78--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","427646.42","4582572.67","427554.514","4582371.733","2.133476","41.389615","BUS -6-7-33-34-63-67--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","427089.832","4584898.144","426997.932","4584697.186","2.126539","41.410509","BUS -60-123-196--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns","426899.371","4584718.62","426807.473","4584517.664","2.124283","41.408875","BUS -60--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns","434102.987","4585709.059","434011.023","4585508.091","2.210354","41.418419","BUS -B23-143-V31-136--",10,70,"Sant Martí","el Besòs i el Maresme",,
"K014","Transports i serveis relacionats","Autobusos diürns","432704.063","4584798.72","432612.111","4584597.761","2.193717","41.410104","BUS -192--",10,65,"Sant Martí","el Clot",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431702.009","4583739.029","431610.066","4583538.08","2.181848","41.400475","NITBUS -N0-N3-N7--",2,5,"Eixample","el Fort Pienc",,
"K014","Transports i serveis relacionats","Autobusos diürns","434112.129","4586142.571","434020.165","4585941.599","2.210416","41.422324","BUS -H12--",10,73,"Sant Martí","la Verneda i la Pau",,
"K014","Transports i serveis relacionats","Autobusos diürns","433845.873","4585890.78","433753.911","4585689.811","2.207257","41.420035","BUS -V31-136--",10,73,"Sant Martí","la Verneda i la Pau",,
"K014","Transports i serveis relacionats","Autobusos diürns","430504.791","4582564.984","430412.859","4582364.047","2.167663","41.389798","BUS -22-24--",2,7,"Eixample","la Dreta de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430504.791","4582564.984","430412.859","4582364.047","2.167663","41.389798","NITBUS -N4-N6--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","430685.409","4588038.889","430593.477","4587837.901","2.169195","41.439115","BUS -47-76-B19-82-H4--",8,48,"Nou Barris","la Guineueta",,
"K015","Transports i serveis relacionats","Autobusos nocturns","425178.185","4582083.344","425086.302","4581882.413","2.104018","41.384982","NITBUS -N12--",4,21,"Les Corts","Pedralbes",,
"K014","Transports i serveis relacionats","Autobusos diürns","428211.988","4585871.096","428120.078","4585670.129","2.139849","41.419373","BUS -60-V15-H4--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","432842.046","4582384.515","432750.092","4582183.579","2.195636","41.388372","BUS -59-92-V21-V27-136--",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","433352.326","4583051.248","433260.368","4582850.305","2.201665","41.394419","BUS -H16-V27--",10,68,"Sant Martí","el Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","430631.911","4583367.937","430539.978","4583166.992","2.169091","41.397041","BUS -B24-H10--",2,7,"Eixample","la Dreta de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns","433500.299","4588511.273","433408.341","4588310.28","2.202834","41.443608","NITBUS -N8--",9,59,"Sant Andreu","el Bon Pastor",,
"K014","Transports i serveis relacionats","Autobusos diürns","428788","4586125.876","428696.085","4585924.906","2.146711","41.421719","BUS -19-119--",7,38,"Horta-Guinardó","la Teixonera",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428807.488","4580968.997","428715.571","4580768.075","2.147551","41.375275","NITBUS -N14-N2-N28--",3,15,"Sants-Montjuïc","Hostafrancs",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429804.493","4584792.9","429712.568","4584591.942","2.159029","41.409803","NITBUS -N6--",6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432177.985","4585075.604","432086.038","4584874.643","2.187392","41.412554","NITBUS -N9--",10,65,"Sant Martí","el Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns","432363.797","4585737.163","432271.849","4585536.196","2.189541","41.418528","BUS -126-V27--",9,61,"Sant Andreu","la Sagrera",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431598.245","4583529.22","431506.303","4583328.273","2.180631","41.398577","NITBUS -N2-N3--",2,5,"Eixample","el Fort Pienc",,
"K014","Transports i serveis relacionats","Autobusos diürns","432177.985","4585075.604","432086.038","4584874.643","2.187392","41.412554","BUS -33-34-192-B24-H10--",10,65,"Sant Martí","el Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns","428388.513","4585519.481","428296.601","4585318.517","2.142003","41.416222","BUS -27--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429610.01","4582994.533","429518.086","4582793.592","2.156911","41.393589","NITBUS -N5--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","430067.145","4588222.774","429975.218","4588021.784","2.161774","41.440717","BUS -27-60-76-185-B19-H4--",7,43,"Horta-Guinardó","Horta",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431015.376","4584875.347","430923.44","4584674.388","2.173505","41.410651","NITBUS -N1-N4--",7,33,"Horta-Guinardó","el Baix Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns","428534.356","4582716.383","428442.442","4582515.445","2.144079","41.390989","BUS -27-59-D40--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432787.991","4581856.236","432696.038","4581655.304","2.195048","41.383609","NITBUS -N8-N28--",1,3,"Ciutat Vella","la Barceloneta",,
"K014","Transports i serveis relacionats","Autobusos diürns","429541.441","4580610.639","429449.517","4580409.72","2.156369","41.372112","BUS -55-121--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","426008.844","4581753.266","425916.953","4581552.337","2.113992","41.382086","BUS -54--",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K014","Transports i serveis relacionats","Autobusos diürns","432242.187","4584929.455","432150.239","4584728.495","2.188176","41.411243","BUS -33-34-B24-H10--",10,65,"Sant Martí","el Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns","433392.51","4587649.41","433300.553","4587448.425","2.201639","41.435837","BUS -11-B23--",9,59,"Sant Andreu","el Bon Pastor",,
"K014","Transports i serveis relacionats","Autobusos diürns","431558.266","4581369.146","431466.324","4581168.219","2.180397","41.379118","BUS -59-D20-H14-V13--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K014","Transports i serveis relacionats","Autobusos diürns","432361.358","4588644.952","432269.41","4588443.958","2.189186","41.444717","BUS -60-V31--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns","429996.724","4587091.054","429904.798","4586890.075","2.161062","41.430518","BUS -185--",7,43,"Horta-Guinardó","Horta",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428583.225","4580604.431","428491.31","4580403.512","2.144913","41.371972","NITBUS -N1-N13-N15-N16-N17-N18--",3,15,"Sants-Montjuïc","Hostafrancs",,
"K014","Transports i serveis relacionats","Autobusos diürns","432732.109","4588832.461","432640.158","4588631.465","2.193603","41.446437","BUS -60-B19--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns","432492.457","4588276.677","432400.508","4588075.686","2.190796","41.441411","BUS -H4--",9,60,"Sant Andreu","Sant Andreu",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432153.391","4585114.561","432061.444","4584913.599","2.187093","41.412902","NITBUS -N3--",10,65,"Sant Martí","el Clot",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431900.233","4581596.55","431808.288","4581395.621","2.184461","41.381196","NITBUS -N8-N28--",1,3,"Ciutat Vella","la Barceloneta",,
"K014","Transports i serveis relacionats","Autobusos diürns","431651.999","4582708.147","431560.056","4582507.208","2.181367","41.391186","BUS -39-51-H16--",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",,
"K014","Transports i serveis relacionats","Autobusos diürns","430758.009","4585199.614","430666.075","4584998.652","2.170389","41.413549","BUS -H6--",7,33,"Horta-Guinardó","el Baix Guinardó",,
